paper,conf,year,status
121592,8,2014,2
121593,8,2014,2
121594,8,2014,2
121595,8,2014,1
121596,8,2014,2
121602,8,2014,1
121606,8,2014,2
121620,8,2014,1
121623,8,2014,1
121627,8,2014,2
121631,8,2014,2
121632,8,2014,1
121634,8,2014,1
121635,8,2014,2
121637,8,2014,2
121638,8,2014,2
121639,8,2014,2
121640,8,2014,2
121643,8,2014,2
121646,8,2014,2
121647,8,2014,2
121648,8,2014,1
121649,8,2014,1
121650,8,2014,1
121651,8,2014,2
121654,8,2014,1
121655,8,2014,2
121656,8,2014,1
121657,8,2014,2
121658,8,2014,1
121659,8,2014,1
121660,8,2014,1
121661,8,2014,1
121663,8,2014,1
121664,8,2014,1
121665,8,2014,1
121666,8,2014,2
121670,8,2014,2
121671,8,2014,1
121672,8,2014,1
121673,8,2014,1
121674,8,2014,1
121675,8,2014,2
121677,8,2014,1
121679,8,2014,1
121680,8,2014,1
121682,8,2014,1
121683,8,2014,1
121684,8,2014,2
121685,8,2014,2
121687,8,2014,2
121688,8,2014,2
121690,8,2014,1
121691,8,2014,1
121695,8,2014,1
121696,8,2014,1
121698,8,2014,2
121699,8,2014,1
121700,8,2014,1
121702,8,2014,1
121703,8,2014,1
121704,8,2014,2
121705,8,2014,1
121706,8,2014,1
121707,8,2014,1
121708,8,2014,1
121709,8,2014,1
121724,8,2014,1
121726,8,2014,1
121735,8,2014,1
121749,8,2014,2
121750,8,2014,1
121751,8,2014,2
121764,8,2014,2
121765,8,2014,2
121775,8,2014,2
121785,8,2014,1
121801,8,2014,2
121802,8,2014,2
121809,8,2014,1
121810,8,2014,2
121819,8,2014,2
121825,8,2014,2
121827,8,2014,1
121835,8,2014,2
121836,8,2014,1
121844,8,2014,2
121872,8,2014,1
121932,8,2014,1
121968,8,2014,1
132694,9,2015,2
133296,9,2015,2
133797,9,2015,1
133801,9,2015,1
133859,9,2015,2
133949,9,2015,2
133992,9,2015,1
134040,9,2015,1
134258,9,2015,1
134351,9,2015,1
134358,9,2015,1
134374,9,2015,1
134376,9,2015,1
134377,9,2015,1
134378,9,2015,1
134386,9,2015,1
134402,9,2015,2
134403,9,2015,1
134419,9,2015,1
134420,9,2015,1
134421,9,2015,1
134431,9,2015,2
134433,9,2015,2
134437,9,2015,1
134438,9,2015,1
134445,9,2015,1
134446,9,2015,1
134449,9,2015,2
134484,9,2015,1
134499,9,2015,1
134501,9,2015,2
134505,9,2015,2
134509,9,2015,2
134511,9,2015,2
134513,9,2015,2
134515,9,2015,1
134519,9,2015,2
134523,9,2015,1
134536,9,2015,2
134538,9,2015,2
134539,9,2015,1
134540,9,2015,1
134541,9,2015,1
134544,9,2015,1
134556,9,2015,1
134566,9,2015,1
134585,9,2015,1
134591,9,2015,1
134605,9,2015,1
134606,9,2015,2
134607,9,2015,1
134608,9,2015,1
134609,9,2015,2
134612,9,2015,1
134616,9,2015,1
134620,9,2015,1
134627,9,2015,1
134647,9,2015,1
134658,9,2015,1
134689,9,2015,1
134690,9,2015,2
134707,9,2015,1
135326,9,2015,2
135368,9,2015,1
135419,9,2015,2
135438,9,2015,1
135562,9,2015,1
137132,9,2015,1
137169,9,2015,1
137257,9,2015,1
137262,9,2015,1
137270,9,2015,1
137273,9,2015,2
137274,9,2015,1
137283,9,2015,2
137284,9,2015,1
137285,9,2015,2
137287,9,2015,2
137292,9,2015,1
137294,9,2015,1
137295,9,2015,1
137305,9,2015,1
137306,9,2015,1
137311,9,2015,2
137312,9,2015,2
137313,9,2015,2
137319,9,2015,1
137320,9,2015,1
137322,9,2015,2
137324,9,2015,1
137331,9,2015,1
137332,9,2015,1
137335,9,2015,1
137337,9,2015,1
137338,9,2015,1
137339,9,2015,1
137342,9,2015,1
137354,9,2015,1
137357,9,2015,1
137358,9,2015,1
137374,9,2015,2
137382,9,2015,1
137383,9,2015,1
137386,9,2015,1
137387,9,2015,2
137388,9,2015,1
137389,9,2015,1
137390,9,2015,1
137391,9,2015,1
137393,9,2015,1
137394,9,2015,1
137397,9,2015,1
137398,9,2015,1
137400,9,2015,2
137403,9,2015,1
137407,9,2015,1
137408,9,2015,1
137410,9,2015,1
137411,9,2015,1
137413,9,2015,1
137414,9,2015,1
137415,9,2015,1
137417,9,2015,1
137419,9,2015,1
137420,9,2015,2
137422,9,2015,1
137425,9,2015,1
137427,9,2015,1
137428,9,2015,1
137429,9,2015,1
137430,9,2015,1
137431,9,2015,1
137432,9,2015,1
137433,9,2015,1
137434,9,2015,1
137436,9,2015,1
137437,9,2015,1
137438,9,2015,2
137439,9,2015,1
137442,9,2015,1
137446,9,2015,1
137448,9,2015,1
137449,9,2015,2
137450,9,2015,1
137451,9,2015,2
137452,9,2015,2
137453,9,2015,1
137454,9,2015,1
137455,9,2015,2
137456,9,2015,1
137458,9,2015,1
137459,9,2015,2
137461,9,2015,1
137462,9,2015,2
137463,9,2015,2
137464,9,2015,1
137465,9,2015,1
137468,9,2015,1
