"subtopics","paper","conf","year","status","topic"
"6","108744","7","2013","1","1"
"6","62264","1","2010","2","1"
"6","150469","12","2016","1","1"
"6","92933","5","2012","1","1"
"6","73038","2","2010","1","1"
"6","121632","8","2014","1","1"
"6","149965","12","2016","2","1"
"6","61885","1","2010","2","1"
"6","121627","8","2014","2","1"
"6","93368","5","2012","1","1"
"6","93898","5","2012","1","1"
"6","62194","1","2010","1","1"
"6","93968","5","2012","2","1"
"6","73989","2","2010","2","1"
"6","121401","8","2014","2","1"
"6","61088","1","2010","2","1"
"6","137312","9","2015","2","1"
"6","78418","3","2011","1","1"
"6","94068","5","2012","1","1"
"6","93899","5","2012","2","1"
"6","149685","12","2016","1","1"
"6","77442","3","2011","2","1"
"6","73647","2","2010","2","1"
"6","107243","7","2013","1","1"
"6","163314","14","2017","2","1"
"6","60679","1","2010","2","1"
"6","78351","3","2011","1","1"
"6","132694","9","2015","2","1"
"6","61144","1","2010","1","1"
"6","1570163595","10","2015","2","1"
"6","61883","1","2010","2","1"
"6","94122","5","2012","1","1"
"6","93959","5","2012","1","1"
"6","1570153299","10","2015","1","1"
"6","61931","1","2010","2","1"
"6","61636","1","2010","2","1"
"6","121059","8","2014","2","1"
"6","134513","9","2015","2","1"
"6","94030","5","2012","2","1"
"6","94060","5","2012","1","1"
"6","93620","5","2012","1","1"
"6","121801","8","2014","2","1"
"6","62481","1","2010","2","1"
"6","108708","7","2013","2","1"
"6","84216","4","2011","1","1"
"6","94006","5","2012","1","1"
"6","70782","2","2010","1","1"
"6","84215","4","2011","2","1"
"6","73821","2","2010","1","1"
"6","163317","14","2017","2","1"
"6","101165","6","2012","1","1"
"6","94008","5","2012","1","1"
"6","61174","1","2010","1","1"
"6","121834","8","2014","1","1"
"6","92793","5","2012","1","1"
"6","121802","8","2014","2","1"
"6","163318","14","2017","2","1"
"6","164328","14","2017","1","1"
"6","99254","6","2012","2","1"
"6","94009","5","2012","2","1"
"6","61438","1","2010","2","1"
"6","99350","6","2012","1","1"
"6","1570158015","10","2015","2","1"
"6","135326","9","2015","2","1"
"6","61814","1","2010","2","1"
"6","133992","9","2015","1","1"
"6","108811","7","2013","1","1"
"6","137461","9","2015","1","1"
"6","137522","9","2015","1","1"
"6","121620","8","2014","1","1"
"6","164216","14","2017","2","1"
"6","93902","5","2012","1","1"
"6","73823","2","2010","2","1"
"6","93901","5","2012","1","1"
"6","73991","2","2010","1","1"
"7","99311","6","2012","1","1"
"7","82552","4","2011","2","1"
"7","98335","6","2012","2","1"
"7","98334","6","2012","1","1"
"7","62241","1","2010","2","1"
"7","108809","7","2013","1","1"
"7","121365","8","2014","2","1"
"7","163779","14","2017","1","1"
"7","137294","9","2015","1","1"
"7","94040","5","2012","1","1"
"7","1570165185","10","2015","1","1"
"7","85673","4","2011","1","1"
"7","62471","1","2010","1","1"
"7","107972","7","2013","1","1"
"7","98384","6","2012","1","1"
"7","164211","14","2017","1","1"
"7","148518","12","2016","1","1"
"7","163793","14","2017","1","1"
"7","137292","9","2015","1","1"
"7","121052","8","2014","1","1"
"7","108385","7","2013","1","1"
"7","1570282704","13","2016","2","1"
"7","61695","1","2010","1","1"
"7","163985","14","2017","1","1"
"7","108803","7","2013","1","1"
"7","163931","14","2017","2","1"
"7","108733","7","2013","1","1"
"7","73986","2","2010","1","1"
"7","1570172041","10","2015","2","1"
"7","85720","4","2011","1","1"
"7","150116","12","2016","1","1"
"7","62530","1","2010","2","1"
"7","93855","5","2012","2","1"
"7","62533","1","2010","2","1"
"7","137468","9","2015","1","1"
"7","121595","8","2014","1","1"
"7","149564","12","2016","1","1"
"7","121593","8","2014","2","1"
"7","62175","1","2010","2","1"
"7","62319","1","2010","2","1"
"7","1570142765","10","2015","2","1"
"7","137461","9","2015","1","1"
"7","62439","1","2010","2","1"
"7","84143","4","2011","1","1"
"7","93706","5","2012","2","1"
"7","62283","1","2010","1","1"
"7","73880","2","2010","1","1"
"7","137358","9","2015","1","1"
"7","93941","5","2012","2","1"
"7","137470","9","2015","1","1"
"7","62455","1","2010","2","1"
"7","94049","5","2012","2","1"
"7","134376","9","2015","1","1"
"7","62507","1","2010","1","1"
"8","92902","5","2012","1","1"
"8","137338","9","2015","1","1"
"8","149986","12","2016","1","1"
"8","92463","5","2012","1","1"
"8","1570153915","10","2015","2","1"
"8","150521","12","2016","2","1"
"8","163862","14","2017","2","1"
"8","121591","8","2014","2","1"
"8","73936","2","2010","2","1"
"8","163861","14","2017","2","1"
"8","164207","14","2017","2","1"
"8","150472","12","2016","1","1"
"8","1570287842","13","2016","2","1"
"8","1570206129","11","2015","1","1"
"8","73730","2","2010","1","1"
"8","62551","1","2010","1","1"
"8","93378","5","2012","1","1"
"8","121175","8","2014","1","1"
"8","62553","1","2010","1","1"
"8","121656","8","2014","1","1"
"8","137386","9","2015","1","1"
"8","108841","7","2013","1","1"
"8","1570287869","13","2016","2","1"
"8","108783","7","2013","1","1"
"8","1570203415","11","2015","1","1"
"8","149557","12","2016","1","1"
"8","93366","5","2012","1","1"
"8","62394","1","2010","1","1"
"8","137419","9","2015","1","1"
"8","108733","7","2013","1","1"
"8","134484","9","2015","1","1"
"8","107201","7","2013","2","1"
