,paper,conf,year,status
899,4,3,1,?!
900,101165,6,2012,accepted
901,101176,6,2012,rejected
902,101229,6,2012,accepted
903,101273,6,2012,accepted
904,101286,6,2012,accepted
905,101455,6,2012,accepted
906,101748,6,2012,accepted
907,101750,6,2012,accepted
908,101751,6,2012,accepted
909,101792,6,2012,accepted
910,106396,6,2012,accepted
911,106421,6,2012,accepted
912,106460,6,2012,accepted
913,106464,6,2012,accepted
914,106473,6,2012,accepted
915,106531,6,2012,accepted
916,106552,6,2012,accepted
917,106634,6,2012,accepted
918,1,2,3,rejected
919,1,3,4,accepted
920,108133,6,2012,accepted
921,108134,6,2012,accepted
922,108137,6,2012,accepted
923,108365,6,2012,accepted
924,108366,6,2012,accepted
925,108367,6,2012,accepted
926,108370,6,2012,accepted
927,104088,7,2013,rejected
928,104992,7,2013,rejected
929,105028,7,2013,accepted
930,105276,7,2013,rejected
931,105478,7,2013,rejected
932,106137,7,2013,rejected
933,106209,7,2013,accepted
934,106376,7,2013,accepted
935,106511,7,2013,accepted
936,106538,7,2013,rejected
937,106654,7,2013,accepted
938,106683,7,2013,accepted
939,106767,7,2013,accepted
940,106867,7,2013,accepted
941,106882,7,2013,rejected
942,106885,7,2013,accepted
943,106907,7,2013,accepted
944,106916,7,2013,accepted
945,106928,7,2013,accepted
946,106935,7,2013,accepted
947,106952,7,2013,rejected
948,106954,7,2013,accepted
949,106955,7,2013,accepted
950,106988,7,2013,accepted
951,1,3,2,acepto
952,106999,7,2013,accepted
953,107025,7,2013,accepted
954,107033,7,2013,accepted
955,107055,7,2013,rejected
956,107073,7,2013,rejected
957,107109,7,2013,accepted
958,107112,7,2013,accepted
959,107128,7,2013,rejected
960,107129,7,2013,rejected
961,107144,7,2013,rejected
962,107145,7,2013,accepted
963,107162,7,2013,accepted
964,107163,7,2013,accepted
965,107164,7,2013,accepted
966,107169,7,2013,rejected
967,107170,7,2013,rejected
968,107172,7,2013,rejected
969,107175,7,2013,rejected
970,4,1,2,**
971,107196,7,2013,accepted
972,107197,7,2013,rejected
973,107198,7,2013,accepted
974,107201,7,2013,rejected
975,107215,7,2013,accepted
976,107216,7,2013,accepted
977,107219,7,2013,accepted
978,107220,7,2013,accepted
979,107227,7,2013,accepted
980,107241,7,2013,rejected
981,107242,7,2013,accepted
982,107243,7,2013,accepted
983,107268,7,2013,accepted
984,107270,7,2013,rejected
985,107274,7,2013,accepted
986,107275,7,2013,rejected
987,107277,7,2013,rejected
988,107278,7,2013,rejected
989,107279,7,2013,accepted
990,107280,7,2013,rejected
991,107285,7,2013,rejected
992,107290,7,2013,accepted
993,107291,7,2013,accepted
994,107292,7,2013,rejected
995,107294,7,2013,accepted
996,107296,7,2013,accepted
997,107297,7,2013,rejected
998,107300,7,2013,accepted
999,107301,7,2013,rejected
1000,107305,7,2013,accepted
1001,107306,7,2013,accepted
1002,2,1,4,rejected
