,paper,subtopics
1069,108752,28
1070,108753,26-31
1071,108755,5-23-29
1072,108756,23-36
1073,108757,26
1074,108758,16-31-42
1075,108760,30-41
1076,108762,9-53
1077,108764,9-24-55
1078,108765,16-42
1079,108766,11-41
1080,108767,14-17-19-42
1081,108768,5-35-36
1082,4,1
1083,108771,26
1084,108773,53-26-2-55
1085,108774,14-17-42
1086,108775,37-52-53
1087,108776,36-33-26-3
1088,108777,26-36
1089,108779,2
1090,108782,55-56
1091,108783,42-35-27-25-19-17-14-10-8
1092,108784,42-25-16-14-51
1093,108785,17-42
1094,108786,26-30-31-55-56
1095,108788,10-36
1096,3,1
1097,108790,16-17-19-42
1098,108791,2
1099,108792,20-21-26-32
1100,108794,26-16-42
1101,108795,42-25-16-55
1102,108801,10-16-17-19-27-35-42
1103,108802,22-31-52
1104,1,2
1105,2,3
1106,108805,16-19-42
1107,108806,10-16-17-42
1108,108809,7-22-26-31-39
1109,108810,42-36-16-9
1110,108811,2-6
1111,108812,37-36-9-53
1112,4,1
1113,108814,19-43-56
1114,108815,51-55
1115,108816,42
1116,108817,53-52-25-55
1117,108819,32-17-9-36
1118,108820,21-22-25-44
1119,108821,9-14-17-42
1120,108823,8-10-17-35-42
1121,108824,26-32-36
1122,108825,52
1123,108828,26-49
1124,108829,12
1125,108830,49-55
1126,108831,42-17
1127,108832,22
1128,108836,9-22-26-52-53
1129,108837,17-35-56
1130,108839,21-26-33-36
1131,108840,5-29-53
1132,108841,8-17-19
1133,108843,16-42
1134,108844,16-17-19-42
1135,108888,2-3-54
1136,108972,10-42
1137,118698,3-26-32-36-53
1138,118725,1-2-51
1139,120084,3-53
1140,120091,21-31-48
1141,120108,2-28-32-46-52-53
1142,120186,3-4-25-29-51-52
1143,120463,3-52-53
1144,120536,1-2-26-41
1145,120561,14-25-32-52
1146,120562,5-47
1147,120564,26-28
1148,120674,1-2-51
1149,120837,12-18-25
1150,120880,10-34
1151,120965,9-32
1152,120966,8-14-25-29
1153,120968,26-36
1154,120978,25-27-31-32-41-53
1155,121043,3-25-47
1156,121044,2-31
1157,121045,26-36-53-55
1158,121047,42-30-16-55
1159,121048,2-23-31
1160,121051,26
1161,121052,7-30-31-37-41
1162,121053,42-19-17-16-47
1163,3,4
1164,121055,2-31-49
1165,1,4
1166,121088,56
1167,121166,2-25-31-49
1168,121175,22-9-8-26
1169,121177,26-25-16-42
1170,121306,9-23-41
1171,121308,10-22-55
1172,121327,25-41-52
1173,121329,2-31-53
1174,121340,30-25-19-16-38-42
1175,121348,8-9-14-27-49
1176,121365,7-25-51
1177,121382,42-26-16-53
1178,121392,8-22-23-32-52-54
1179,121401,6-36-52
1180,121404,30-25-16-42
1181,121413,8-38-49
1182,121434,20-26
1183,121439,14-31-37
1184,121533,53-40-25-15-5
1185,121548,9-22
1186,121552,6-31-36
1187,121555,3-25-37
1188,121577,42-27-23-56
1189,121584,9
1190,121586,26-16-42
1191,121591,8-22
1192,121592,1-2-31-32-46-47-49-51
1193,121593,37-16-7-42
1194,121594,1-2
1195,121595,1-2-7-39-52
1196,121596,3-36
1197,121602,2-26
1198,121606,26-55
1199,1,4
1200,121620,2-6-35
1201,121623,2-35-38-53
1202,3,1
1203,121627,6-2-52
1204,121631,25
1205,121632,2-6-35
1206,121634,26
1207,121635,9
1208,121637,3-25-26-28-30-31-39
1209,121638,23-28-30-31-47-51
1210,121639,2-25
1211,121640,8-14-23-25
1212,121643,25-47
1213,4,2
1214,121646,23-21-19-3-26
1215,121647,8-9-16
1216,121648,30-27-25-16-42
1217,121649,30-16-42
1218,121650,26-31-41-49-51
1219,121651,42-16-55
1220,4,2
1221,121654,16-27-31
1222,121655,32-41-52
1223,121656,2-8-30
1224,121657,22-23-24-25-26-27-28-55
1225,121658,29-25-47
1226,121659,42-25-16-47
1227,121660,25-53
1228,121661,25-41
1229,121663,21-49
1230,121664,2-52
1231,121665,23-25-27-39-55
1232,121666,36-53-55
1233,121670,2
1234,121671,26-31-50-53
1235,121672,36-26-42
1236,121673,14-25-32-52-53-54
1237,121674,3-9-25-36-53
1238,121675,21-24-26-32-41-49
1239,121677,5-9-52
1240,121679,23-25-41
1241,121680,13-21-27-28
1242,121682,27-2-43
1243,121683,22-30
1244,121684,9-25-47
1245,121685,51-42-33-30-16-53
1246,121687,54-42-25-16-55
1247,121688,9-27-32
1248,121690,8-25-32
1249,121691,52-42-16-55
1250,2,4
1251,121695,9-47
1252,121696,9-22-23-32
1253,3,4
1254,121698,31-41
1255,121699,2-35
1256,121700,2-23
1257,121702,23-28-37-45
1258,121703,27-51
1259,121704,12
1260,121705,22-25
1261,121706,3-25-36
1262,121707,34-37
1263,121708,2-12-25
1264,121709,9
1265,121724,52
1266,121726,55
1267,121735,4-13-26
1268,121749,39-52
1269,121750,8-9-19-52
1270,121751,2-55
1271,121764,11-23-26-41
1272,121765,55
1273,121775,2-52
1274,121785,53-25-9-55
1275,121801,2-6-21-30-36
1276,121802,1-2-6-25-30-47
1277,121809,25-56
1278,121810,25-31-37-53
1279,121819,36
1280,121825,21-32
1281,121827,52-47-42-25-16-54
1282,1,4
1283,121835,13-23-30-36-41
1284,121836,9-23-53
1285,121844,2-53
1286,121872,31-27-16-42
1287,121932,31-19-16-8-42
1288,121968,3-52
1289,132694,2-6-35-55
