paper,conf,year,status
121044,8,2014,rejected
121045,8,2014,accepted
121047,8,2014,accepted
121048,8,2014,accepted
121051,8,2014,accepted
121052,8,2014,accepted
121053,8,2014,accepted
121055,8,2014,rejected
121088,8,2014,accepted
121166,8,2014,accepted
121175,8,2014,accepted
121177,8,2014,accepted
121306,8,2014,accepted
121308,8,2014,rejected
121327,8,2014,rejected
121329,8,2014,accepted
121340,8,2014,rejected
121348,8,2014,rejected
121365,8,2014,rejected
121382,8,2014,accepted
121392,8,2014,accepted
121401,8,2014,rejected
121404,8,2014,accepted
121413,8,2014,accepted
121434,8,2014,rejected
121439,8,2014,accepted
121533,8,2014,rejected
121548,8,2014,accepted
121552,8,2014,accepted
121555,8,2014,accepted
121577,8,2014,accepted
121584,8,2014,accepted
121586,8,2014,accepted
121591,8,2014,rejected
121592,8,2014,rejected
121593,8,2014,rejected
121594,8,2014,rejected
121595,8,2014,accepted
121596,8,2014,rejected
121602,8,2014,accepted
121606,8,2014,rejected
121620,8,2014,accepted
121623,8,2014,accepted
121627,8,2014,rejected
121631,8,2014,rejected
121632,8,2014,accepted
121634,8,2014,accepted
121635,8,2014,rejected
121637,8,2014,rejected
121638,8,2014,rejected
